,0
0,409362.0799937707
1,497218.3608874808
2,278743.7288886385
3,953908.7246654135
4,644495.5941815542
5,139510.5056807925
6,660986.2789151751
7,744259.5623863081
8,1047072.2066789173
9,345371.7222709275
10,124763.70884008717
11,490304.0053147011
12,137939.028609387
13,158480.75269311003
14,1004512.9209463518
15,298385.0514344112
16,470453.6818310813
17,440317.5542244979
18,588142.6292768627
19,494158.4614336437
20,923951.3119971525
21,1858140.8998859995
22,699802.1704571855
23,205596.84970255202
24,365705.39319376554
25,542742.3515162935
26,113462.61148392619
27,269663.26695928245
28,715814.5595736029
29,561708.8083620719
30,542486.5452887845
31,301458.5712474922
32,629372.4845892371
33,499648.0957544148
34,796566.8586155499
35,166031.913057998
36,322777.8782017196
37,11027.608872266952
38,411116.4193899069
39,402166.96134994354
40,475254.0731917805
41,389747.5360769809
42,121446.78511940496
43,1825980.622863846
44,403304.6659433468
45,685701.9118970922
46,503626.3899295869
47,513288.0825722944
48,233844.36671898188
49,595269.8265333608
50,593948.4651786344
51,805900.2559994059
52,207088.66841050138
53,384736.07958002074
54,1312740.799778142
55,618803.6549387746
56,559170.0794521463
57,626990.2251052258
58,391020.8450059389
59,280547.0234609587
60,422197.2390307371
61,13731.073248036613
62,984494.6820931154
63,263789.0820635115
64,460543.5400355591
65,349194.7526252123
66,448208.05539456103
67,601253.2298891386
68,197977.15589506028
69,464528.0804979135
70,929543.7331257717
71,71715.87460579374
72,877273.3765170445
73,475202.30897842615
74,1151317.8828029344
75,627483.353402032
76,229364.4278556503
77,881695.6734894906
78,386478.90122872416
79,1637477.9261510521
80,356415.2384440431
81,386711.7293324005
82,1098551.5024575135
83,364612.0234713439
84,847319.6664788428
85,928529.1994641001
86,1738762.5704039438
87,604016.4137352954
88,758082.6980849555
89,464651.69354026765
90,650179.9735487315
91,1299500.3662027004
92,737564.7792673315
93,121982.46627440717
94,722235.5864679627
95,402251.8400950816
96,349165.04080203734
97,319227.0910923062
98,99041.03926663997
99,434046.3836971803
100,1053408.955653878
101,725945.9845157531
102,342021.36609296047
103,287574.29376487975
104,415209.26668210456
105,561046.6129523275
106,792697.8142733425
107,483816.8124089149
108,1368657.7867521439
109,-54540.79306914142
110,325540.8448623307
111,465437.6948826738
112,403342.0327935525
113,466516.3446860863
114,319783.6934503189
115,694947.1987926645
116,24267.163177769864
117,1947206.3836490838
118,505986.13753638
119,405646.64555347734
120,659606.0012983914
121,388696.8135148352
122,426451.62228294834
123,1058794.9511806816
124,197031.09352416883
125,395003.750298147
126,1061832.0903423228
127,943990.624710719
128,459967.8083706434
129,2065143.3525721598
130,707708.7581298664
131,819383.0890802954
132,625848.292092291
133,222808.78912593616
134,272275.2059880396
135,994877.6922725352
136,520658.8537716159
137,530334.6943807611
138,417604.208699511
139,932370.5506848601
140,201269.4536070932
141,385379.9167633323
142,916701.8536951827
143,633599.7844699227
144,93868.33123038412
145,378906.8033074348
146,2258335.240593783
147,562290.1575061495
148,-78083.31427577737
149,657052.4249003638
150,115281.4101276123
151,1204365.7545188605
152,528603.8333665956
153,701398.0649898266
154,1664301.6685289848
155,213236.43803666608
156,469773.7425445515
157,611722.1881682877
158,558797.0173529218
159,132052.36588204873
160,420067.0424743674
161,1333782.41123925
162,554414.1421108856
163,634431.7822556659
164,288728.6299072602
165,1282874.163127998
166,245954.3013373093
167,111315.27559355274
168,644127.7437283073
169,196569.4025794057
170,480177.7332228479
171,61311.48829442146
172,980241.2188866507
173,388118.716083469
174,455767.58567971725
175,146897.2505229881
176,931516.062972682
177,696471.1869523252
178,109279.82915372116
179,163588.079732524
180,284238.6423119573
181,-40199.754583247704
182,1230344.834783467
183,541004.6908049462
184,388412.60341529595
185,297517.95835786976
186,734421.9152767266
187,569169.662854536
188,609538.6128750738
189,421759.0053438067
190,578039.0783998786
191,166466.426092648
192,206060.98614971398
193,94968.01408065791
194,321127.4794149045
195,381731.4295361731
196,419538.1942251546
197,276853.5970557198
198,558873.0831575185
199,809467.3763681174
200,900116.1484164487
201,828162.3924597389
202,1271393.8819621657
203,635171.1204054977
204,695591.6576004036
205,194962.26284690882
206,464417.10586152156
207,336086.35023981857
208,564570.7553257725
209,234628.79036274907
210,203027.28819196217
211,989738.1084680847
212,589562.5982986587
213,1286513.3348767967
214,251539.7503782739
215,136176.7824594797
216,690902.1562081473
217,366166.30294044723
218,375789.0229179965
219,165049.2785141237
220,146119.2375773911
221,978577.0608458334
222,569129.7411681727
223,786911.8997379635
224,532163.2076954973
225,258267.78012334043
226,288230.32078952854
227,114553.06620859634
228,216825.66961804288
229,126946.49359235726
230,226706.21289062477
231,666301.1727535911
232,1069044.7638216545
233,825335.1960057736
234,131878.3809959893
235,1174874.9247222114
236,491361.509767132
237,585614.9274800819
238,875785.5740559079
239,931683.9908102815
240,530319.3253084077
241,478364.53395605914
242,435812.27073207055
243,690038.2477529572
244,564851.9954213387
245,865406.630479782
246,262403.1807077092
247,531285.5556174624
248,392745.0279056751
249,876702.5327049772
250,976123.4260668535
251,888819.9838589177
252,508951.6664216982
253,897863.5480757599
254,1386259.8147702278
255,624729.407145098
256,76471.70861943794
257,438248.40429734194
258,1054454.9017589106
259,493173.9401379938
260,631134.5457809874
261,651229.8437060291
262,303541.76054312126
263,827138.4389692651
264,797785.8166057128
265,451579.7216657428
266,357544.6781099867
267,719238.2570157927
268,616578.0993873545
269,542092.8668037895
270,1754153.772052283
271,753962.4297215716
272,515953.8431318711
273,762580.5706845656
274,571716.4986742772
275,770192.0528396132
276,271041.25873363996
277,1010726.5862714021
278,613720.618369752
279,267014.03573761816
280,553948.3748202948
281,547129.2242415642
282,431220.3304291449
283,654662.5524276384
284,257410.9413444178
285,203871.65663988015
286,389035.9444797853
287,414010.97123494325
288,393655.81622641906
289,1312168.841313995
290,406112.476441802
291,307732.749224502
292,491390.6242033442
293,401564.33522036835
294,473986.7000180356
295,903131.4625624748
296,962783.141632581
297,521241.1533302353
298,249476.5886053865
299,835534.1309002513
300,794467.1587889619
301,38123.8573458473
302,207226.40081843745
303,950143.8011230022
304,1237395.160354387
305,619631.6073642608
306,830762.261314931
307,270596.61196289613
308,878404.9997341322
309,347345.2177538865
310,552371.7237721388
311,-51039.26035923688
312,297698.42031962273
313,130391.67559558718
314,349760.13241444726
315,246910.79263231542
316,505944.3253406548
317,607313.3844820943
318,202927.01702238544
319,745818.6828372556
320,1944129.5946602938
321,463576.37025001296
322,434280.89675899805
323,64625.12511220947
324,429688.1640758292
325,885986.9198363799
326,861064.3689282668
327,755600.8161495997
328,514127.91095276305
329,1351063.310533923
330,68782.68154670973
331,317571.746343008
332,174490.11475900206
333,568243.1423011792
334,597823.1293395262
335,449761.5256521029
336,279590.18749246444
337,-61964.3436414263
338,746756.6356458946
339,548811.6622588736
340,354481.73625175026
341,381991.70789334737
342,619333.3256506835
343,858104.5836591067
344,700930.3973855647
345,269860.9940419383
346,166532.48042361764
347,67106.43321099959
348,727341.6681809479
349,405674.15151845664
350,290211.2295589432
351,427810.06831378315
352,389135.65406792774
353,1072265.726990642
354,342852.3045255792
355,211107.94576249272
356,562722.2701646499
357,304881.3919215945
358,639057.2974539188
359,-334749.9726820161
360,565159.9222792016
361,1348264.3665015893
362,88142.24041123345
363,-32946.50090196513
364,119644.92062225554
365,348803.97199823
366,444190.6004851931
367,254942.0951667372
368,304329.9490789261
369,57607.47492383805
370,881117.429764734
371,1266564.8388787624
372,849291.2436238661
373,475705.20549645263
374,482212.045353313
375,1394514.0069852704
376,134784.13356207462
377,287750.358571838
378,902855.8347663531
379,746734.9962901751
380,355320.4446535988
381,753280.734506262
382,695130.4744783486
383,356108.662804562
384,680816.8496942563
385,661813.7039926652
386,1148739.0127457683
387,358748.5066023739
388,837857.9986687355
389,521729.5584157087
390,492423.41502828663
391,183542.3506519075
392,960122.2056782652
393,149026.7344323385
394,447050.34734908736
395,-196950.09698688574
396,403731.9791734138
397,20580.56355798844
398,934031.6549156298
399,617281.0794173048
400,657487.4191868631
401,111196.03553555021
402,1326855.4168430907
403,712515.86743108
404,68932.69888882793
405,512626.4364066308
406,1574423.3431263198
407,1059237.431959957
408,-36632.26317298418
409,249952.61093159753
410,962430.5971974594
411,702341.2021365721
412,91315.73705267912
413,241563.41118966136
414,103656.80640403653
415,561178.1364510217
416,470315.5421493765
417,440072.57008245355
418,136307.18053827155
419,474187.79754153884
420,540632.4118782642
421,268834.47346756276
422,100865.25026302517
423,234132.58040126838
424,527355.7676717063
425,190039.08268864243
426,748234.540776481
427,337907.4236741541
428,547317.0142651333
429,798620.8176504051
430,113464.68009810749
431,387937.239203535
432,595599.6296064727
433,836724.3485990401
434,178510.38764034724
435,458731.86551150493
436,856411.4561206518
437,72598.82434817683
438,579231.7365770775
439,1423297.4794235313
440,487447.1523283523
441,539649.7324364566
442,537322.1265316559
443,778367.7689437207
444,470495.3072698761
445,1412517.8111130237
446,665092.0425337426
447,368166.85708327626
448,424581.4936091376
449,1378374.9707903047
450,586946.6937496421
451,316377.030424558
452,538644.0637324717
453,92088.63984554546
454,519616.7432857568
455,539255.8880014116
456,696655.4546816484
457,195457.01034412044
458,163420.02206030156
459,181491.95608284813
460,636351.8451941526
461,258683.22716494324
462,472918.58392076497
463,296920.3644636958
464,254324.1276398393
465,144172.79104103317
466,499656.96693246986
467,364555.8659989927
468,568759.9737835102
469,172145.43592149072
470,445945.5627699448
471,282502.0815083
472,362401.83338986745
473,327690.4781715019
474,365925.8210503432
475,215245.44513442705
476,475637.4224343465
477,492376.07265173586
478,213792.1115147383
479,298866.63075599296
480,391665.0021206804
481,284269.49090415763
482,425072.5450447808
483,475801.1631155845
484,417261.38393614464
485,285985.04693118745
486,395131.13131834543
487,566424.0864515097
488,456390.1143010402
489,298590.66755320865
490,361661.12769360817
491,1141511.329890233
492,513704.3470896055
493,87508.31474762771
494,502026.7027335089
495,91349.49677715253
496,979434.1833019984
497,449615.8562483315
498,987035.123163459
499,344638.01130497723
500,601590.2625112986
501,818716.6696752425
502,777392.0706724249
503,773703.002760206
504,195972.0600335038
505,675560.5441662528
506,551069.88445969
507,605402.6964590424
508,433757.9594852767
509,1117462.7354719639
510,333551.5713468529
511,864004.1570254267
512,1074552.0406049564
513,743264.8575390524
514,318845.8361141189
515,1276413.6834522802
516,655353.4375058763
517,511668.3563516885
518,494800.6592915907
519,433431.277271798
520,489938.3052480862
521,206975.30145074642
522,44060.49735216622
523,1319565.7317354744
524,979889.9703048825
525,712075.9878903294
526,330880.4206383538
527,665721.108453933
528,439531.5201390615
529,641654.5660498509
530,316136.64812314895
531,274722.1591001854
532,191665.73079606384
533,441187.0076293093
534,1033567.883188683
535,736661.5729719925
536,751003.3769846883
537,271374.22580554255
538,834012.6430216181
539,1136385.322939048
540,379968.47994716046
541,121981.85404967662
542,906518.5785564579
543,1108806.059827156
544,152750.36322585738
545,1130456.0980426385
546,546263.9180169486
547,148875.5070600229
548,478563.89301765966
549,405420.47722856305
550,225762.7307950916
551,1144922.802387223
552,460318.8388921062
553,423726.5598851094
554,219001.08421474788
555,481008.0011012013
556,221236.1178900033
557,810027.7699641262
558,433778.12161308795
559,278764.44460350875
560,349417.977767705
561,277929.8398281031
562,200155.5404020485
563,1510285.1123288437
564,359925.8968364084
565,211475.7096742494
566,805745.8281039059
567,185170.70324717596
568,695277.047352309
569,247795.3595439375
570,593997.1950848367
571,445118.4565453951
572,227136.0417878221
573,354050.4431078136
574,640761.287852812
575,751581.4178410191
576,-80309.24746341055
577,1181310.3348067096
578,461815.5054170359
579,634575.2051097028
580,155494.89391931135
581,452456.2876612027
582,608188.6081717705
583,254739.6896335233
584,784038.3942226015
585,682543.8115694355
586,158839.4317293659
587,271649.2847348872
588,331028.10697975394
589,378351.3382540756
590,532177.9612107122
591,536649.681142016
592,-185773.24463546282
593,500503.4536212089
594,-21684.106120656186
595,705710.5464130957
596,186294.55826640502
597,772024.688256169
598,429208.7737095631
599,316034.8512368535
600,386682.40052893094
601,662685.4506769392
602,535106.8370678002
603,462698.7770723901
604,679522.5387427087
605,657562.346882835
606,114559.89744244982
607,687115.5399910081
608,542201.2171663868
609,683449.9942134368
610,917759.9193642953
611,518397.388613757
612,167632.9539465406
613,599717.966581219
614,1564422.5365974125
615,115018.81353020348
616,775139.4749028315
617,783426.6043197687
618,325938.1727620505
619,394799.6532155463
620,835496.5994084392
621,718602.5022299277
622,470538.5827692491
623,352197.97464641894
624,593543.3349774849
625,390467.46211196773
626,394254.8095024241
627,134159.75438839238
628,367779.29479404364
629,343203.1413968345
630,696740.6981674626
631,342590.11859893764
632,828004.8156285255
633,233319.66639720532
634,669515.0897493084
635,412964.00218830176
636,445628.91933119483
637,572020.6649315931
638,230858.9133457715
639,96750.00047407445
640,426005.73502490716
641,119509.46462339698
642,438924.10926705075
643,653492.5108062517
644,1057982.284515542
645,-181013.24022662145
646,394422.07063640247
647,409688.92490826175
648,472156.9187463961
649,402994.2922728779
650,254153.96629415127
651,1315907.7662840919
652,358105.53557436913
653,1438926.5020219716
654,260741.63419091265
655,615163.8312213745
656,454287.8381203379
657,218521.24058730964
658,317052.1132389653
659,925362.3000786147
660,572119.564695847
661,616530.2526714979
662,1053471.2654836983
663,334049.46897140355
664,498600.0792481253
